"Var1" "Var2" "value" "gender"
"163" 3 3 2.13033262903592 "m"
"164" 4 3 2.38772113651543 "m"
"165" 5 3 2.66540953193263 "m"
"166" 6 3 2.96618227940723 "m"
"167" 7 3 3.34914414760302 "m"
"168" 8 3 3.70040894425437 "m"
"169" 9 3 3.9901564370912 "m"
"170" 10 3 4.35099092206312 "m"
"171" 11 3 4.70676375005258 "m"
"172" 12 3 5.12659561460166 "m"
"173" 13 3 5.68275729289499 "m"
"174" 14 3 6.14513400015174 "m"
"175" 15 3 6.6596636896689 "m"
"176" 16 3 7.31397751891394 "m"
"177" 17 3 8.06651699306507 "m"
"178" 18 3 8.90300382185547 "m"
"179" 19 3 9.59649292794296 "m"
"180" 20 3 9.99743439063049 "m"
"181" 21 3 10.5191895842061 "m"
"182" 22 3 11.5436965428048 "m"
"183" 23 3 12.8894430370951 "m"
"184" 24 3 14.4012665741221 "m"
"185" 25 3 16.3252893218216 "m"
"186" 26 3 18.7134173669305 "m"
"187" 27 3 21.2443858916344 "m"
"188" 28 3 23.3590037964959 "m"
"189" 29 3 25.6571563021581 "m"
"190" 30 3 28.5177314317256 "m"
"191" 31 3 31.6008114430703 "m"
"192" 32 3 34.8672329604232 "m"
"193" 33 3 38.2985382471278 "m"
"194" 34 3 42.0153192342907 "m"
"195" 35 3 45.4308293425663 "m"
"196" 36 3 48.8413722324328 "m"
"197" 37 3 52.1232962523085 "m"
"198" 38 3 55.0141908547982 "m"
"199" 39 3 58.3375815314226 "m"
"200" 40 3 65.2149581966718 "m"
"201" 41 3 68.1714540333369 "m"
"202" 42 3 74.2238210365359 "m"
"203" 43 3 73.0841387056557 "m"
"204" 44 3 81.3855379954713 "m"
"205" 45 3 88.4344287452445 "m"
"206" 46 3 91.7201642471382 "m"
"207" 47 3 100.65295234258 "m"
"208" 48 3 111.790148928854 "m"
"209" 49 3 121.762737919293 "m"
"210" 50 3 136.050289501201 "m"
"211" 51 3 153.973269768703 "m"
"212" 52 3 164.294458515172 "m"
"213" 53 3 155.139615801375 "m"
"214" 54 3 164.675580431954 "m"
"215" 55 3 172.746957657323 "m"
"216" 56 3 174.418440778937 "m"
"217" 57 3 168.438429175098 "m"
"218" 58 3 174.96170064505 "m"
"219" 59 3 192.675818876194 "m"
"220" 60 3 207.033712285653 "m"
"221" 61 3 208.388863824033 "m"
"222" 62 3 215.317760609554 "m"
"223" 63 3 216.122125208506 "m"
"224" 64 3 212.615266002386 "m"
"225" 65 3 215.09505065143 "m"
"226" 66 3 208.373227169107 "m"
"227" 67 3 204.118716311076 "m"
"228" 68 3 190.975879789386 "m"
"229" 69 3 166.30878494393 "m"
"230" 70 3 152.135827581448 "m"
"231" 71 3 130.56895984344 "m"
"232" 72 3 110.793488148274 "m"
"233" 73 3 90.1349754432045 "m"
"234" 74 3 68.9521675710212 "m"
"235" 75 3 53.706637371836 "m"
"236" 76 3 37.1864799633736 "m"
"237" 77 3 28.3374041458682 "m"
"238" 78 3 18.1486097610172 "m"
"239" 79 3 7.9256351388192 "m"
"240" 80 3 4.14305465605908 "m"
"241" 1 4 1.87235420686702 "m"
"242" 2 4 2.11077502476822 "m"
"243" 3 4 2.34001970021987 "m"
"244" 4 4 2.62267769036 "m"
"245" 5 4 2.92761136373256 "m"
"246" 6 4 3.25787415455892 "m"
"247" 7 4 3.67837510275298 "m"
"248" 8 4 4.0640233166942 "m"
"249" 9 4 4.38206823203858 "m"
"250" 10 4 4.7781351488271 "m"
"251" 11 4 5.16858686517391 "m"
"252" 12 4 5.62931551635439 "m"
"253" 13 4 6.23965368919962 "m"
"254" 14 4 6.74691285287564 "m"
"255" 15 4 7.31131804177533 "m"
"256" 16 4 8.02904023989242 "m"
"257" 17 4 8.85440546604102 "m"
"258" 18 4 9.77168883956879 "m"
"259" 19 4 10.5317696939346 "m"
"260" 20 4 10.9705583279278 "m"
"261" 21 4 11.5416793754504 "m"
"262" 22 4 12.6640581809873 "m"
"263" 23 4 14.1383136935445 "m"
"264" 24 4 15.7940401128346 "m"
"265" 25 4 17.9009263762593 "m"
"266" 26 4 20.515499146969 "m"
"267" 27 4 23.285150963536 "m"
"268" 28 4 25.5968057981339 "m"
"269" 29 4 28.1077653588946 "m"
"270" 30 4 31.2325802608147 "m"
"271" 31 4 34.5982270447687 "m"
"272" 32 4 38.1612166770679 "m"
"273" 33 4 41.9006822000913 "m"
"274" 34 4 45.9477540529876 "m"
"275" 35 4 49.6600245301102 "m"
"276" 36 4 53.3609906891476 "m"
"277" 37 4 56.9148759604924 "m"
